
1701941886982 :: history :: {'symbol': 'NSE:MARUTI-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941887165 :: {'s': 'error', 'code': -300, 'message': ''}

1701941887675 :: history :: {'symbol': 'NSE:FEDERALBNK-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941887885 :: {'s': 'error', 'code': -300, 'message': ''}

1701941888415 :: history :: {'symbol': 'NSE:MCDOWELL-N-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941888604 :: {'s': 'error', 'code': -300, 'message': ''}

1701941889119 :: history :: {'symbol': 'NSE:GAIL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941889300 :: {'s': 'error', 'code': -300, 'message': ''}

1701941889815 :: history :: {'symbol': 'NSE:MFSL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941890009 :: {'s': 'error', 'code': -300, 'message': ''}

1701941890522 :: history :: {'symbol': 'NSE:GLENMARK-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941890722 :: {'s': 'error', 'code': -300, 'message': ''}

1701941891236 :: history :: {'symbol': 'NSE:GMRINFRA-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941891449 :: {'s': 'error', 'code': -300, 'message': ''}

1701941892033 :: history :: {'symbol': 'NSE:GNFC-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941892251 :: {'s': 'error', 'code': -300, 'message': ''}

1701941892763 :: history :: {'symbol': 'NSE:NATIONALUM-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941893011 :: {'s': 'error', 'code': -300, 'message': ''}

1701941893582 :: history :: {'symbol': 'NSE:HAL-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941893781 :: {'s': 'error', 'code': -300, 'message': ''}

1701941894322 :: history :: {'symbol': 'NSE:HAVELLS-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941894535 :: {'s': 'error', 'code': -300, 'message': ''}

1701941895060 :: history :: {'symbol': 'NSE:HDFCBANK-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941895301 :: {'s': 'error', 'code': -300, 'message': ''}

1701941895813 :: history :: {'symbol': 'NSE:NAUKRI-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941896016 :: {'s': 'error', 'code': -300, 'message': ''}

1701941896527 :: history :: {'symbol': 'NSE:HEROMOTOCO-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941896741 :: {'s': 'error', 'code': -300, 'message': ''}

1701941897270 :: history :: {'symbol': 'NSE:HINDALCO-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941897514 :: {'s': 'error', 'code': -300, 'message': ''}

1701941898027 :: history :: {'symbol': 'NSE:HINDCOPPER-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941898227 :: {'s': 'error', 'code': -300, 'message': ''}

1701941898763 :: history :: {'symbol': 'NSE:HINDPETRO-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941898965 :: {'s': 'error', 'code': -300, 'message': ''}

1701941899487 :: history :: {'symbol': 'NSE:IBULHSGFIN-EQ', 'resolution': '60', 'date_format': '1', 'range_from': '2023-11-17', 'range_to': '2023-12-07', 'cont_flag': '1'} :: 1701941899742 :: {'s': 'error', 'code': -300, 'message': ''}

